service,category,description,benefits,languages,use_cases,constraints,tags,related_services,official_url,cost_efficiency,simplicity,scalability,low_latency,managed_level,beginner_friendly
AWS CDK,Developer Tools / Infrastructure as Code,Framework para definir infraestructura cloud como código usando lenguajes de propósito general.,"Acelera despliegues repetibles, reutilización de componentes y buenas prácticas de ingeniería para infraestructura.","TypeScript, JavaScript, Python, Java, C# y Go.","iac, infraestructura como código, automatización de despliegues, devops, platform engineering",No ejecuta la aplicación final por sí mismo; define y despliega infraestructura.,"iac,devops,deployment,automation,infrastructure,platform-engineering","CloudFormation, ECS, Lambda, API Gateway, S3, IAM",https://aws.amazon.com/cdk/,5,4,5,1,4,4
AWS SDK / boto3,Developer Tools / SDK,Conjunto de SDKs y APIs para integrar aplicaciones con servicios AWS desde distintos lenguajes de programación.,"Permite automatizar, integrar y desarrollar soluciones AWS desde el lenguaje preferido del equipo.","Muchas opciones populares; por ejemplo Python (boto3), JavaScript, Java, Go, C# y más.","integración programática, automatización, scripts, backend, desarrollo de aplicaciones cloud",No reemplaza la arquitectura; es la capa de acceso programático a los servicios.,"sdk,python,boto3,javascript,java,go,csharp,automation,development",Todos los servicios AWS,https://docs.aws.amazon.com/sdkref/latest/guide/overview.html,5,4,4,1,4,5
Amazon EventBridge,Integration / Event Bus,"Bus de eventos administrado para conectar aplicaciones, servicios SaaS y flujos desacoplados mediante eventos.","Arquitecturas desacopladas, integración sencilla y automatización por eventos.","Independiente del lenguaje; se usa vía SDKs, consola, CLI e integraciones nativas.","event-driven, integraciones, automatización, desacoplamiento, arquitectura basada en eventos",No reemplaza una cola especializada ni un motor de workflow completo en todos los casos.,"event-driven,events,integration,automation,serverless,bus","Lambda, Step Functions, ECS, API Gateway, CloudWatch",https://aws.amazon.com/eventbridge/,4,5,5,4,5,4
Amazon ElastiCache,Database / Cache,Servicio administrado de caché en memoria para acelerar aplicaciones y reducir latencia de lectura.,"Mejora tiempos de respuesta, descarga bases de datos y soporta cargas de lectura intensivas.",Compatible con aplicaciones que usan Redis o Memcached desde múltiples lenguajes.,"cache, baja latencia, sesiones, aceleración, performance",No reemplaza una base de datos principal ni un data lake.,"cache,low-latency,performance,redis,memcached,backend","EC2, ECS, EKS, Lambda, RDS",https://aws.amazon.com/elasticache/,3,4,4,5,4,3
Amazon VPC,Networking / Connectivity,Red virtual aislada en la nube de AWS donde puedes lanzar recursos en una sección lógicamente separada.,"Control total sobre el entorno de red, seguridad mediante grupos de seguridad y ACLs.","Independiente del lenguaje; configuración vía Consola, CLI, Terraform, CDK.","Aislamiento de recursos, conectividad híbrida, subredes públicas/privadas.",Requiere planificación de direccionamiento IP (CIDR) y ruteo.,"networking, isolation, vpc, security, connectivity","EC2, RDS, Lambda, Direct Connect, VPN",https://aws.amazon.com/vpc/,5,3,5,5,4,3
Amazon Route 53,Networking / DNS,Servicio de DNS web altamente disponible y escalable.,"Registro de dominios, ruteo de tráfico inteligente y monitoreo de salud.",N/A (Configuración de red),"Gestión de dominios, balanceo de carga global, failover.",Costo por zona hospedada y consultas.,"dns, networking, domain, routing","CloudFront, ELB, S3, VPC",https://aws.amazon.com/route53/,4,4,5,5,5,4
Amazon CloudFront,Networking / CDN,"Red de entrega de contenido (CDN) que acelera el envío de datos, videos y aplicaciones.","Baja latencia global, seguridad integrada (WAF/Shield), reducción de carga en origen.",Soporta Lambda@Edge (JS/Python) y CloudFront Functions (JS).,"Distribución de contenido estático/dinámico, streaming de video, aceleración de APIs.",Configuración de caché puede ser compleja; costos de transferencia de datos.,"cdn, networking, edge, acceleration, security","S3, EC2, ELB, WAF, Lambda@Edge",https://aws.amazon.com/cloudfront/,4,4,5,5,5,4
AWS KMS,Security / Encryption,Servicio administrado para crear y controlar las claves de cifrado.,"Cifrado de datos en reposo, integrado con casi todos los servicios de AWS, FIPS 140-2.",SDKs para cifrado/descifrado programático.,"Cifrado de volúmenes EBS, buckets S3, bases de datos RDS, secretos.",Límites de API por segundo; costo por clave mensual.,"security, encryption, kms, keys, compliance","S3, EBS, RDS, Secrets Manager, CloudTrail",https://aws.amazon.com/kms/,4,4,5,5,5,3
AWS Secrets Manager,Security / Management,"Ayuda a proteger, rotar y gestionar secretos como credenciales de base de datos y API keys.","Rotación automática de secretos, integración nativa con RDS, elimina hardcoding.","SDKs: Python, JS, Java, Go, etc.","Almacenamiento de credenciales de DB, tokens de API, certificados.",Costo por secreto almacenado y por cada 10k peticiones.,"security, secrets, password-management, compliance","RDS, Lambda, KMS, IAM",https://aws.amazon.com/secrets-manager/,3,4,5,5,5,4
AWS CloudTrail,Management / Governance,"Registra las acciones realizadas por usuarios, roles o servicios de AWS.","Auditoría, cumplimiento normativo, solución de problemas operativos y seguridad.",Logs en JSON.,"Auditoría de quién borró un recurso, detección de actividad inusual, historial de APIs.",Retraso de unos minutos en la entrega de logs; costo por eventos de datos.,"auditing, compliance, governance, logs, security","IAM, CloudWatch, S3, EventBridge",https://aws.amazon.com/cloudtrail/,4,4,5,3,5,4
AWS CloudFormation,Management / IaC,Servicio para modelar y configurar recursos de AWS mediante infraestructura como código.,"Despliegues consistentes, control de versiones de infraestructura, gestión de dependencias.",YAML o JSON.,"Despliegue de stacks completos, replicación de entornos, automatización de infraestructura.",Sintaxis propietaria; puede ser difícil de depurar en fallos de stack.,"iac, automation, devops, templates, infrastructure","CDK, Terraform, Systems Manager",https://aws.amazon.com/cloudformation/,5,3,5,3,5,3
AWS Systems Manager (SSM),Management / Operations,Centro de operaciones para ver y controlar la infraestructura en AWS y on-premises.,"Acceso a instancias sin SSH (Session Manager), gestión de parches, almacenamiento de parámetros.",Agente SSM disponible para Linux/Windows.,"Parcheo automático, ejecución de comandos remotos, configuración centralizada.",Requiere la instalación y configuración de un agente en las instancias.,"operations, automation, patching, remote-access, inventory","EC2, CloudWatch, Config, IAM",https://aws.amazon.com/systems-manager/,5,4,5,4,5,4
Amazon OpenSearch Service,Analytics / Search,"Servicio administrado para búsqueda, visualización y análisis de datos de logs (sucesor de Elasticsearch).","Búsqueda de texto completo, Dashboards incluidos, escalabilidad horizontal.","Query DSL (JSON), SQL limitado.","Búsqueda en aplicaciones, análisis de logs de seguridad, monitoreo operativo.",Consumo de recursos alto; costo de instancias dedicadas.,"search, logs, analytics, dashboard, elasticsearch","CloudWatch Logs, Kinesis, S3, IAM",https://aws.amazon.com/opensearch-service/,3,3,4,5,4,2
Amazon QuickSight,Analytics / BI,Servicio de inteligencia de negocios (BI) rápido y basado en la nube.,"Visualización de datos, dashboards embebibles, integración con ML y lenguaje natural.",Interfaz visual; no requiere código para gráficos básicos.,"Dashboards ejecutivos, reportes de ventas, visualización de datos de data lake.",Modelo de licenciamiento por usuario (lectores/autores); capacidades de personalización visual limitadas.,"bi, analytics, reporting, visualization, dashboards","S3, Athena, Redshift, RDS, Spice",https://aws.amazon.com/quicksight/,4,4,5,4,5,5
Amazon Neptune,Database / Graph,Base de datos de grafos rápida y administrada para aplicaciones que manejan relaciones complejas.,Soporta Property Graph y RDF; alta disponibilidad y durabilidad.,"Gremlin, SPARQL, openCypher.","Redes sociales, motores de recomendación, detección de fraude, grafos de conocimiento.",Específico para grafos; no apto para datos tabulares simples.,"database, graph, relationships, fraud-detection, networking","S3, SageMaker, Lambda",https://aws.amazon.com/neptune/,3,3,4,5,5,2
Amazon DocumentDB,Database / NoSQL,"Servicio de base de datos de documentos rápido, escalable y compatible con MongoDB.","Administrado, compatible con herramientas de MongoDB, escalado de lectura rápido.","Drivers de MongoDB (Python, Node, Java, etc.).","Catálogos de productos, gestión de perfiles, aplicaciones web basadas en documentos.",No es 100% compatible con todas las APIs de MongoDB (solo 3.6/4.0/5.0).,"database, nosql, mongodb, documents, json","S3, CloudWatch, Lambda",https://aws.amazon.com/documentdb/,3,4,4,5,5,4
AWS Amplify,Frontend / Web & Mobile,Herramientas y servicios para desarrollar aplicaciones web y móviles de pila completa.,"Acelera el desarrollo backend (Auth, API, Storage), CI/CD integrado, hosting escalable.","JS/React/Vue/Next, iOS, Android, Flutter.","Desarrollo rápido de MVPs, apps móviles con login y base de datos, sitios web estáticos.",Abstracciones pueden ocultar complejidad dificultando configuraciones personalizadas avanzadas.,"frontend, mobile, fullstack, auth, hosting, swift, react","AppSync, Cognito, S3, DynamoDB, Lambda",https://aws.amazon.com/amplify/,4,5,5,4,5,5
AWS CodePipeline,Developer Tools / CI-CD,Servicio de entrega continua para automatizar pipelines de lanzamiento.,"Automatización total de software, integración con GitHub/Bitbucket, control de etapas.",Configuración vía consola o YAML/JSON.,"Automatizar el despliegue de código, orquestar compilaciones y pruebas.",Costo por pipeline activo mensual.,"devops, cicd, pipeline, automation, deployment","CodeBuild, CodeDeploy, CodeCommit, S3",https://aws.amazon.com/codepipeline/,4,4,5,4,5,4
Amazon Lightsail,Compute / VPS,Servicio de VPS (servidor privado virtual) simplificado para lanzar servidores en minutos.,"Precios predecibles (paquetes), facilidad de uso, incluye storage y networking básico.",Cualquiera (Linux/Windows).,"Blogs de WordPress, sitios pequeños, servidores de desarrollo, apps sencillas.",Menos flexible que EC2 para configuraciones de red o escalado avanzado.,"compute, vps, simple, wordpress, small-business","EC2, Route 53, VPC Peering",https://aws.amazon.com/lightsail/,5,5,2,4,3,5
Amazon GuardDuty,Security / Threat Detection,Servicio de detección de amenazas inteligente que monitorea continuamente tu cuenta.,"Detección automática de malware, minería de cripto y accesos inusuales mediante ML.",N/A (Automático).,"Detección de intrusiones, seguridad de cuentas, monitoreo de logs de flujo de VPC.",Costo basado en el volumen de logs analizados.,"security, threat-detection, ml, compliance, monitoring","CloudTrail, VPC Flow Logs, Security Hub",https://aws.amazon.com/guardduty/,4,5,5,4,5,5
AWS WAF,Security / Firewall,Firewall de aplicaciones web para proteger contra exploits web comunes.,"Protección contra inyección SQL, XSS, bloque de IPs, mitigación de bots.",N/A (Reglas de configuración).,"Protección de aplicaciones web frente a ataques, control de acceso por geografía.",Las reglas pueden generar falsos positivos si no se afinan.,"security, firewall, waf, web-protection, bots","CloudFront, ALB, API Gateway, AppSync",https://aws.amazon.com/waf/,4,4,5,5,5,4
AWS Organizations,Management / Governance,Gestión centralizada de múltiples cuentas de AWS.,"Facturación consolidada, políticas de control de servicios (SCPs), creación rápida de cuentas.",Políticas en JSON.,"Estructura jerárquica de cuentas, aislamiento de entornos (Prod/Dev), cumplimiento.",Acciones incorrectas en la raíz pueden afectar a toda la organización.,"governance, multi-account, billing, security, organization","IAM, Control Tower, CloudTrail",https://aws.amazon.com/organizations/,5,4,5,4,5,3
AWS Backup,Storage / Backup,Servicio centralizado para automatizar y gestionar copias de seguridad entre servicios.,"Gestión de backups en un solo lugar, cumplimiento, retención automática.",N/A (Configuración de planes).,"Backup de volúmenes EBS, DBs RDS, buckets S3, sistemas EFS.",Costo por almacenamiento de backup y restauración.,"backup, storage, disaster-recovery, compliance, automation","EBS, RDS, S3, DynamoDB, EFS",https://aws.amazon.com/backup/,4,5,5,3,5,4
Amazon EMR,Analytics / Big Data,Plataforma de big data para procesar grandes cantidades de datos usando frameworks como Spark y Hadoop.,"Escalado dinámico de clústeres, integración con S3, bajo costo con instancias Spot.","Python, Java, Scala, SQL, R.","Procesamiento ETL masivo, análisis de datos científicos, machine learning distribuido.",Requiere conocimiento en frameworks de Big Data; configuración de clústeres puede ser compleja.,"analytics, big-data, spark, hadoop, etl","S3, Glue, Athena, Redshift",https://aws.amazon.com/emr/,3,2,5,3,4,1
Amazon MSK,Analytics / Streaming,Servicio administrado para Apache Kafka.,"Ejecuta Kafka sin gestionar infraestructura, alta disponibilidad, seguro por defecto.","Java, Python, Go, etc. (Clientes Kafka).","Pipelines de datos en tiempo real, arquitecturas de microservicios, migración de Kafka on-prem.",Costo base relativamente alto debido a instancias mínimas del clúster.,"streaming, kafka, real-time, event-driven, analytics","Lambda, Kinesis, Glue, S3",https://aws.amazon.com/msk/,3,3,5,5,4,2
AWS DMS,Migration / Database,Servicio de migración de bases de datos con tiempo de inactividad mínimo.,"Migraciones homogéneas y heterogéneas, replicación continua, soporte multiplataforma.",N/A (Herramienta de migración).,"Mover DBs a AWS, migrar de Oracle a Aurora, replicación de datos para analítica.",Requiere configuración de red y agentes de replicación; monitoreo crítico en migraciones.,"migration, database, dms, replication, cloud-adoption","RDS, Aurora, Redshift, SCT",https://aws.amazon.com/dms/,4,3,4,4,4,3
AWS DataSync,Migration / Transfer,Simplifica y acelera el movimiento de datos entre almacenamientos on-premises y AWS.,"Velocidad extrema, validación de integridad automática, reducción de carga en red.",N/A (Agente de software).,"Migración de terabytes de archivos, replicación de backups, transferencia para analítica.",Requiere instalación de un agente en el origen.,"migration, transfer, storage, s3, sync","S3, EFS, FSx, Snowball",https://aws.amazon.com/datasync/,4,4,5,3,5,4
Amazon FSx,Storage / Filesystem,"Sistemas de archivos de alto rendimiento (Windows File Server, Lustre, NetApp ONTAP).","Soporte nativo para protocolos SMB/NFS, integración con AD, ultra alto rendimiento.",N/A (Protocolos de red).,"Cargas de trabajo Windows, computación de alto rendimiento (HPC), bases de datos compartidas.",Costoso para almacenamiento de uso general si no se necesita el rendimiento extremo.,"storage, filesystem, windows, lustre, hpc","EC2, WorkSpaces, Directory Service",https://aws.amazon.com/fsx/,3,3,5,5,5,3
AWS Config,Management / Compliance,"Evalúa, audita y califica las configuraciones de los recursos de AWS.","Historial de cambios, verificación de cumplimiento continuo (reglas), inventario de recursos.",Reglas personalizadas en Lambda (Python/JS).,"Cumplimiento normativo, auditoría de seguridad, trazabilidad de cambios en infraestructura.",Costo por item de configuración registrado y por ejecución de reglas.,"compliance, governance, auditing, inventory, security","CloudTrail, IAM, Systems Manager",https://aws.amazon.com/config/,4,3,5,3,5,3
Amazon Pinpoint,Business Applications / Engagement,Servicio de comunicación multicanal para marketing y engagement de usuarios.,"Envío de SMS, Emails, Push notifications, segmentación avanzada de usuarios.","SDKs, REST API.","Campañas de marketing, notificaciones transaccionales, analítica de retención de usuarios.","Configuración de entregabilidad puede ser compleja (DNS, cuotas).","marketing, notifications, sms, email, engagement","SES, SNS, Lambda, S3",https://aws.amazon.com/pinpoint/,4,3,5,4,5,3
AWS App Runner,Compute / Containers,Servicio completamente administrado para desplegar aplicaciones web en contenedores rápidamente.,"No hay que gestionar infraestructura, escalado automático, despliegue directo desde código o ECR.","Go, Python, Node, Java, etc.","APIs web, microservicios sencillos, aplicaciones frontend SSR.",Limitado a servicios web que escuchan peticiones HTTP; no apto para jobs de larga duración.,"containers, serverless, compute, web-app, simplicity","ECR, VPC, RDS",https://aws.amazon.com/apprunner/,4,5,5,5,5,5
AWS AppSync,App Integration / GraphQL,Servicio administrado de GraphQL para simplificar el desarrollo de aplicaciones mediante la creación de un backend flexible.,"Tiempo real (Suscripciones), offline sync, integración nativa con DynamoDB y Lambda.",Resolvers en JS o VTL; clientes en cualquier lenguaje mobile/web.,"Apps colaborativas, dashboards en tiempo real, agregación de múltiples fuentes de datos.",Requiere conocimiento de GraphQL; límites en el tamaño de las peticiones.,"graphql, api, real-time, serverless, fullstack","Amplify, DynamoDB, Lambda, Cognito",https://aws.amazon.com/appsync/,4,4,5,5,5,4
Amazon SES,Business Applications / Email,Servicio de envío de correo electrónico basado en la nube.,"Alta entregabilidad, bajo costo, integración programática simple.",SMTP o SDKs.,"Emails de marketing, notificaciones transaccionales (confirmación de órdenes), newsletters.",Proceso de salida de 'sandbox' requerido; control estricto de reputación de envío.,"email, marketing, notifications, smtp, serverless","S3, Lambda, Pinpoint, CloudWatch",https://aws.amazon.com/ses/,5,4,5,4,5,4
AWS Glue DataBrew,Analytics / Data Prep,Herramienta visual de preparación de datos sin código.,"Limpieza y normalización de datos rápida, más de 250 transformaciones predefinidas, perfiles de datos.",No requiere código (Interfaz visual).,"Preparar datos para ML o analítica por analistas de negocio, limpieza de CSVs/Parquet.",Costo por sesión de preparación de datos.,"data-prep, etl, analytics, no-code, clean-data","Glue, S3, QuickSight, SageMaker",https://aws.amazon.com/glue/databrew/,4,5,4,3,5,5
AWS CodeBuild,Developer Tools / Build,"Servicio de compilación totalmente administrado que compila código fuente, realiza pruebas y produce artefactos.","Pago por minuto, escala bajo demanda, entornos preconfigurados para múltiples lenguajes.","Java, Python, JS, Go, Ruby, Docker, etc.","Compilar código Java/C#, ejecutar unit tests, crear imágenes Docker.",Limitado por el tiempo de ejecución y recursos de la instancia elegida.,"cicd, build, automation, devops, docker","CodePipeline, CodeDeploy, ECR, S3",https://aws.amazon.com/codebuild/,5,4,5,4,5,4
AWS CodeDeploy,Developer Tools / Deployment,"Automatiza los despliegues de software en cualquier servicio de computación (EC2, Lambda, ECS).","Despliegues sin tiempo de inactividad (Blue/Green), rollback automático, consistencia.",Scripting de despliegue en Bash/PowerShell.,"Actualización de aplicaciones en flotas de EC2, despliegues canarios en Lambda.",Requiere un agente CodeDeploy en EC2; configuración de hooks puede ser laboriosa.,"deployment, cicd, automation, devops, blue-green","CodePipeline, EC2, Lambda, ECS",https://aws.amazon.com/codedeploy/,5,3,5,4,5,3
